qstr_Next_Page|下 一 页
qstr_{playername}_I_am_grat|{playername}， 我 感 谢 您 ， 但 是 如 果 我 现 在 接 受 我 ， 我 将 冒 犯 {s15}之 类 的 强 大 武 士 的 风 险 ， 这 些 武 士 可 能 会 认 为 自 己 的 荣 誉 等 于 或 大 于 您 的 荣 誉 。 
qstr_{playername}_I_am_grate|{playername}， 我 感 谢 您 ， 但 是 如 果 我 现 在 接 受 我 ， 我 将 冒 犯 诸 如 {s15}之 类 的 武 士 风 险 ， 这 些 武 士 可 能 会 认 为 自 己 的 荣 誉 等 于 或 大 于 您 的 荣 誉 。 
qstr_{playername}_while_I|{playername}， 尽 管 我 感 谢 您 ， 但 我 必 须 承 认 我 喜 欢 {s15}。 
qstr_Our_realm_has_too_fe|我 们 的 领 地 太 少 了 。  在 目 前 风 云 突 变 的 情 况 下 ， 我 必 须 利 用 潜 在 的 政 治 联 盟 的 诱 惑 来 吸 引 新 的 附 庸 ， 并 且 还 不 能 被 视 为 致 力 于 任 何 一 个 {reg65？ suitor： candidate}。 
qstr_Because_I_have_insuf|由 于 与 {s15}相 比 ， 我 的 个 人 财 产 不 足 ， 因 此 ， 如 果 我 做 出 这 样 的 安 排 ， 我 可 能 会 冒 成 为 傀 儡 的 危 险 ， 从 而 使 该 领 域 的 稳 定 受 到 威 胁 。 
qstr_Because_my_personal_|由 于 与 {s14}的 其 他 领 主 相 比 ， 我 的 个 人 财 产 不 够 大 ， 因 此 ， 如 果 我 做 出 这 样 的 安 排 ， 我 可 能 会 冒 着 成 为 傀 儡 的 危 险 ， 从 而 使 该 领 域 的 稳 定 受 到 威 胁 。 
qstr_I_am_grateful_to_you|{playername}， 我 非 常 感 谢 您 ， 但 是 在 {s14}的 领 主 中 您 有 太 多 敌 人 ， 因 此 您 的 建 议 在 政 治 上 不 可 行 。 如 果 我 接 受 的 话 ， 可 能 会 有 部 下 起 义 。 
qstr_You_have_engendered_|您 最 近 引 起 了 太 多 争 议 ， {playername}。 
qstr_If_you_desire_to_lea|如 果 您 想 带 领 {s14}陪 伴 我 ， 请 在 我 的 诸 侯 中 寻 求 支 持 ， 以 担 任 马 歇 尔 ， 并 向 他 们 展 示 您 作 为 战 争 领 袖 的 能 力 。 
qstr_Our_realm_has_lost_t|我 们 的 国 家 失 去 了 太 多 领 土 。 我 们 曾 经 持 有 {s1}， 但 现 在 只 持 有 {s0}。 在 目 前 不 稳 定 的 情 况 下 ， 我 必 须 保 留 一 个 政 治 联 盟 的 可 能 性 ， 作 为 与 其 他 主 权 国 家 谈 判 的 筹 码 ， 因 此 我 仍 然 被 视 为 致 力 于 任 何 单 一 的 {reg65？ 申 请 人 ： 候 选 人 }. 恢 复 {s14}以 前 的 荣 耀 ， 我 会 很 高 兴 让 你 在 我 身 边 做 我 的 {丈 夫 /妻 子 }。 
qstr_{s0}_{reg0?have:has}|{s0}已 输 给 其 他 国 家 。  将 {s14}恢 复 到 应 有 的 疆 土 ， 我 很 乐 意 让 您 作 为 我 的 {丈 夫 /妻 子 }在 我 旁 边 统 治 。 
qstr_You_have_only_been_s|您 仅 当 了 {reg0} 天 的 总 大 将 。  在 您 担 任 该 职 位 至 少 两 个 星 期 后 ， 再 让 我 们 来 谈 谈 这 个 问 题 。 
qstr_If_not_for_you_I_wou|如 果 不 适 合 您 ， 我 不 会 在 这 里 ， {playername}。  当 我 们 开 始 长 途 跋 涉 时 ， 很 少 有 人 有 勇 气 支 持 我 。  还 有 更 少 的 人 愿 意 为 我 的 事 业 冒 生 命 危 险 。  但 是 ， 您 毫 不 犹 豫 地 向 着 我 。  我 们 在 一 起 经 历 了 很 多 事 情 ， 最 终 我 们 取 得 了 胜 利 。  我 将 很 高 兴 接 受 您 同 时 担 任 {s14}的 {丈 夫 /妻 子 }和 共 同 统 治 者 。 
qstr_You_sold_{reg1}_{reg|您 将 {reg1}{reg3？ items： item}卖 给 了 {s0}， 并 获 得 了 {reg0}文 钱 ； 
qstr_You_sold_{reg1}_{reg3|您 将 {reg1}{reg3？ items： item}卖 给 了 {s0}， 并 获 得 了 {reg0}文 钱 ； 
qstr_You_have_bought_{reg|您 已 购 买 {reg2}种 种 食 物 ， 却 损 失 了 {reg1}文 钱 。 
qstr_You_sold_{reg2}_{reg|您 卖 出 了 {reg2}种 腐 烂 的 食 物 ， 并 获 得 了 {reg1}文 钱 
qstr_naginata|薙 刀 
qstr_spear|矛 
qstr_bow|弓 
qstr_sword|剑 
qstr_naginatas|薙 刀 
qstr_spears|长 矛 
qstr_bows|弓 箭 
qstr_swords|剑 
qstr_swing_my_naginata|挥 舞 我 的 薙 刀 
qstr_lift_my_spear|举 起 我 的 矛 
qstr_loose_my_arrows|射 出 我 的 箭 
qstr_swing_my_sword|挥 舞 我 的 剑 
qstr_great_lords|great lords{***}
qstr_lord|lord{***}
qstr_lords|lords{***}
qstr_goatherd|goatherd{***}
qstr_swineherd|swineherd{***}
qstr_stable_{boy/girl}|stable {boy/girl}{***}
qstr_shepherd_{boy/girl}|牧 羊 人 {男 孩 /女 孩 }
qstr_sake|清 酒 
qstr_{reg6?M:m}y_poppet|{reg6?M:m}y poppet{***}
qstr_{reg0?Y:y}ou|{reg0?Y:y}ou{***}
qstr_{reg0?M:m}yself|{reg0?M:m}yself{***}
qstr_{reg0?O:o}ur_{s1}_{s|{reg0?O:o}ur {s1} {s0}{***}
qstr_{reg0?M:m}y_{s1}_{s0|{reg0?M:m}y {s1} {s0}{***}
qstr_{reg0?Y:y}our_{s1}_{|{reg0?Y:y}our {s1} {s0}{***}
qstr_{s2}:_{reg3}_{reg4}_|{s2}: {reg3}, {reg4} 天
qstr_{s4}:_{reg4}|{s4}: {reg4}{***}
qstr_{s1}_gathering_suppo|{s1}(gathering support){***}
qstr_{s1}__intelligence_|{s1} (intelligence){***}
qstr_{s1}__ambassy_|{s1} (ambassy){***}
qstr_{s1}__minister|{s1} (minister{***}
qstr_{s1}__under_arms_|{s1} (under arms){***}
qstr_{s1}__attempting_to_|{s1} (attempting to rejoin){***}
qstr_{s1}__separated_afte|{s1} (separated after battle){***}
qstr__knows_of_you.| knows of you.{***}
qstr__has_no_opinion_abou| has no opinion about you.{***}
qstr_{s57}_and_{s50}|{s57} and {s50}{***}
qstr_Japan.|日 本 
qstr_sworn_man|sworn man{***}
qstr_ruler|ruler{***}
qstr_free_man|free man{***}
qstr_{s1}_Renown:_{reg40}|{s1} Renown: {reg40}, Controversy: {reg41}^Honor: {reg42}, Right to rule: {reg43}^You are a {s44} of {s45}^{reg45?{reg46?Your liege, {s46},{s47}:You are the ruler of {s45}}:}^^Friends: ^Enemies: ^^Fiefs:^  {reg50?{s50}:no fief}{***}
qstr_{s1}{s2}_{reg46?Repu|{s1}{s2}{reg46?被 誉 为 是 {s42}:}^声 望 :{reg40},争 议 :{reg41}{reg46?不 耐 烦 :{reg43}:}^{s45}的 {s44}贵 族 ^{reg46?君 臣 :{s46},关 系 :{reg47}:{s45}的 统 治 者 }^^{reg48?当 前 是 {s48}的 俘 虏 :}^自 上 次 见 面 以 来 的 天 数 :{reg49}^^封 地 {reg51?(被 许 诺 封 地 ):}:^{reg50?{s50}:无 封 地 }
qstr_conventional|传 统 的 
qstr_adventurous|冒 险 地 
qstr_otherwordly|空 想 的 
qstr_ambitious|有 雄 心 的 
qstr_moralist|道 德 家 
qstr_just_met|刚 刚 见 面 
qstr_admirer|爱 慕 者 
qstr_promised|许 诺 
qstr_breakup|分 手 
qstr_unknown|未 知 
qstr_Heroic_{s50}|英 勇 的 {s50}
qstr_Allegoric_{s50}|寓 言 的 {s50}
qstr_Comic_{s50}|滑 稽 {s50}
qstr_Mystic_{s50}|神 秘 {s50}
qstr_Tragic_{s50}|悲 惨 的  {s50}
qstr_{s1}{s2}_Controversy|{s1} {s2}争 议 ： {reg41} ^声 誉 ： {s42}， 求 爱 状 态 ： {s43} ^属 于 {s45} ^ {reg46？ 她 的 父 亲 ， {s46}： 她 的 监 护 人 ， {s46}} { s47} ^允 许 访 问 ： {reg45？ 是 ： 否 } {reg48？ 订 婚 于 {s48}： } ^^自 上 次 会 议 以 来 的 天 数 ： {reg49} ^^诗 ： ^ {reg50？ {s50}： 没 有 诗 集 } 
qstr_Gathering_support|收 集 支 持 
qstr_Gathering_intelligen|在 {s66} 中 收 集 情 报  
qstr_Ambassy_to_{s66}|派 特 使 前 往 {s66}
qstr_Minister|Minister{***}
qstr_none|无 
qstr_{s1}_{s2}^Reputation|{s1}， {s2} ^声 誉 ： {s42} ^出 生 于 {s43} ^ {s45}的 {s44}的 联 系 人 。 ^^ {reg48？ 目 前 {s48}的 囚 徒 ： } ^距 离 上 次 交 谈 的 天 数  到 ： {reg49} ^^当 前 任 务 ： ^ {s50} {reg50 ?， 又 回 到 {reg50}天 。 ： } 
qstr_{s1}^|{s1}^
qstr_Hold|坚 守 阵 地 
qstr_{s1}_x{reg0}|{s1}x{reg0}
qstr_Hold_Fire|开 火 
qstr_Fire_at_Will|随 意 开 火 
qstr_Use_Shield|使 用 盾 牌 
qstr_Back_10_Paces|后 退 10步 
qstr_One_Handed_Weapons|使 用 单 手 武 器 
qstr_Two_Handed_Weapons|使 用 双 手 武 器 
qstr_Ranged_Weapons|使 用 远 程 武 器 
qstr_{s2}^{s1}|{s2}^{s1}
qstr_No_Position_Orders|无 位 置 命 令 
qstr_No_Weapons_Orders|无 武 器 命 令 
qstr_ready_bows_and_missi|准 备 好 弓 和 箭 
qstr_ready_side_arms|准 备 好 随 身 武 器 
qstr_ready_two_handers|准 备 好 双 手 武 器 
qstr_ready_polearms|准 备 好 了 的 武 器 
qstr_brandish_shields|挥 舞 盾 牌 
qstr_doff_your_shields|脱 下 你 的 盾 牌 
qstr_shields_at_will|随 意 使 用 盾 牌 
qstr_avoid_melee|避 免 近 战 
qstr_stand_and_fight|站 在 这 里 战 斗 
qstr_Everyone|所 有 人 
qstr_Your_party_consumed_|你 的 队 伍 消 耗 了 {reg1}个 单 位 的 食 物 {reg4?, {reg4}来 自 觅 食 : }（还 剩 {reg2}天 ）。  
qstr_{s2}_managed_to_fora|{s2}设 法 觅 食 {reg4}单 位 的 食 物 补 充 供 给 。 
qstr_Added_money_for_your|为 你 的 老 马 增 加 金 币 。 
qstr_You_have_been_enlist|您 已 入 伍  ！ 
qstr_Current_rank:_{s5}|当 前 排 名 ： {s5}
qstr_You_have_been_allowe|您 已 被 允 许 保 留 您 的 装 备 ！ 
qstr_You_have_left_your_c|您 已 经 离 开 了 指 挥 官 ！ 
qstr_You_have_been_grante|您 已 获 准 假 ！ 
qstr_You_have_rejoined_yo|您 已 重 新 加 入 指 挥 官 队 伍 ！ 
qstr_{s11}_has_left_for_h|{s11}已 经 离 家 出 走 了  。
qstr_{s11}_has_left_to_fi|{s11} has left to find greener pastures.{***}
qstr_{s3}_{s2}|{s3}, {s2}
qstr_The_equipment_of_a_{|{s1}： {s2}的 装 备 已 分 配 给 您 。 
qstr_The_equipment_of_a_{s|{s1}： {s2}的 装 备 已 从 您 手 中 拿 走 。 
qstr_You_got_keys_of_dung|你 获 得 了 监 狱 的 钥 匙 。 
qstr_Press_TAB_to_end_the|按 TAB键 结 束 战 斗 。 
qstr_You_were_defeated.|您 被 击 败 了 。 
qstr_Rotate_with_the_mous|用 鼠 标 旋 转 ， 用 标 准 键 移 动 。 
qstr_Shift/Control_for_Up|向 上 /向 下 移 动 Shift /控 制 键 ， 空 格 键 可 提 高 速 度 。 
qstr_Numpad_Plus/Minus_to|数 字 加 号 /减 号 可 以 更 改 灵 敏 度 ， Home可 以 重 置 位 置 。 
qstr_Sensitivity___25%__{|灵 敏 度 -25％ （ {reg8}， {reg9}） 
qstr_Sensitivity_+_25%__{|灵 敏 度 + 25％ （ {reg8}， {reg9}） 
qstr_Everyone_you_know_wh|士 兵 们 ， 你 知 道 该 怎 么 做 ， 坚 守 你 们 的 岗 位 ！ 
qstr_first|一 
qstr_second|二 
qstr_third|三 
qstr_fourth|四 
qstr_fifth|五 
qstr_current|目 前 
qstr_The_attackers_have_d|进 攻 者 损 坏 了 {s5}门 ！ 
qstr_The_{s5}_gate_is_dow|{s5}门 的 强 度 降 低 到 {reg5}％ ！ 
qstr_The_last_gate_has_be|最 后 一 道 门 已 被 摧 毁 ！ 
qstr_The_{s5}_gate_has_be|{s5}门 已 被 毁 ！ 
qstr_You_got_the_keys_of_t|你 获 得 了 监 狱 钥 匙 ！ 
qstr_You_must_stay_behind|你 必 须 站 在 线 后 ！ 此 次 攻 击 无 效 。 
qstr_Tutorial|训 练 
qstr_Calculating_value_of|计 算 原 始 物 品 的 价 值 ！ 
qstr__Next_pay_day:_{s1}|下 一 个 发 薪 日 ： {s1} 
qstr_{s1}^^Affiliated_to_|{s1} ^^隶 属 于 {s5}
qstr_You_came_into_the_wo|你 作 为 一 个 没 落 贵 族 家 庭 中 的 {reg3?女 儿 :儿 子 }降 生 在 这 个 世 界 上 ， 家 中 只 剩 下 了 一 幢 房 子 还 矗 立 着 ， 记 录 着 已 经 散 去 的 往 日 荣 光 。 不 过 ， 即 使 生 活 困 苦 ， 家 里 依 然 给 予 了 你 很 好 的 教 育 ， 并 从 孩 童 时 期 就 对 你 进 行 严 格 的 行 为 举 止 方 面 的 训 练 。 
qstr_{reg3?daughter:son}|{reg3?女 儿 :儿 子 }
qstr_You_were_a_child_of_|你 是 一 个 草 原 之 子 ， 生 活 在 一 个 不 断 迁 徙 着 的 游 牧 部 落 之 中 。 象 部 落 中 其 他 人 一 样 ， 你 们 将 马 看 得 比 任 何 事 物 都 重 要 ， 在 你 学 会 走 路 之 前 ， 你 就 已 经 学 会 了 骑 马 。 
qstr_You_were_born_the_{r|你 是 一 位 旅 行 商 人 的 {reg3?女 儿 :儿 子 }， 为 了 追 寻 利 益 ， 他 们 经 常 从 一 个 地 方 到 另 一 个 地 方 四 处 奔 走 。 即 使 你 的 父 母 比 常 人 富 有 ， 并 且 尽 他 们 所 能 给 予 你 最 好 的 教 育 ， 在 旅 行 中 ， 你 还 是 会 时 常 与 别 人 买 卖 一 些 小 玩 意 ， 并 交 上 一 些 朋 友 。 
qstr_As_a_child_your_fami|在 孩 童 时 期 ， 依 靠 着 父 亲 在 城 中 做 护 卫 的 一 点 微 薄 工 资 ， 你 和 家 人 过 着 艰 苦 而 清 贫 的 生 活 ， 并 且 你 也 支 付 不 起 学 费 ， 所 以 你 主 要 学 习 的 是 如 何 在 不 论 手 中 是 否 握 有 武 器 的 各 种 情 况 下 尽 量 保 护 自 己 。 
qstr_You_were_the_{reg3?d|你 是 一 个 居 住 在 森 林 中 的 家 庭 里 面 的 {reg3?女 儿 :儿 子 }在 这 里 你 们 过 着 自 给 自 足 的 生 活 。 对 于 你 家 里 来 说 冬 天 并 不 能 称 之 为 一 个 好 的 季 节 ， 它 带 走 的 不 仅 是 牲 畜 ， 还 有 人 的 性 命 。 不 过 每 天 你 依 然 期 盼 着 下 一 个 黎 明 ， 即 使 你 的 兄 弟 姐 妹 可 能 已 经 看 不 到 那 些 了 。 
qstr_As_the_{reg3?daughte|作 为 盗 贼 的 {reg3?女 儿 :儿 子 }， 你 已 懂 得 很 少 “ 正 规 ” 的 教 育 。 你 从 小 就 在 大 街 上 乞 讨 ， 直 到 学 会 如 何 割 钱 包 ； 之 后 一 直 割 包 ， 直 到 学 会 如 何 解 锁 ， 整 个 童 年 就 是 在 这 样 的 过 程 中 度 过 的 。 经 过 这 些 漫 长 的 岁 月 ， 你 学 会 了 盗 贼 的 生 存 方 式 ， 隐 入 了 城 市 的 阴 暗 巷 道 之 中 。 
qstr_As_a_{reg3?girl:boy}|你 被 送 到 本 地 中 的 一 个 贵 族 家 庭 中 寄 养 。 渐 渐 如 同 其 他 {reg3?女 孩 :男 孩 }一 样 长 大 。 在 那 里 ， 你 在 等 侯 家 主 和 夫 人 的 过 程 中 ， 学 会 第 一 堂 名 为 “ 谦 卑 ” 的 课 程 。 此 外 ， 在 和 他 们 的 对 弈 、 闲 谈 、 甚 至 是 对 伟 大 功 绩 或 高 尚 爱 情 的 诗 赞 中 ， 你 迅 速 地 学 会 了 成 人 世 界 的 争 斗 和 竞 争 。 你 也 会 从 其 他 孩 子 的 野 蛮 游 戏 中 ， 在 他 们 以 木 棒 代 剑 的 对 打 中 ， 学 会 他 们 大 人 的 用 剑 方 法 。
qstr_As_a_{reg3?girl:boy}_|你 作 为 一 名 本 地 工 匠 的 学 徒 学 会 了 如 何 进 行 买 卖 ， 并 渐 渐 像 其 他 {reg3?女 孩 :男 孩 }一 样 长 大 。 在 数 年 的 努 力 工 作 和 学 习 后 ， 他 升 你 为 正 式 工 匠 ， 付 你 全 薪 直 到 你 决 定 离 开 。 
qstr_As_a_{reg3?girl:boy}_g|你 作 为 一 名 有 钱 的 商 人 的 学 徒 ， 在 多 年 的 交 易 和 行 商 中 挖 掘 出 买 卖 才 能 ， 渐 渐 像 其 他 {reg3?女 孩 :男 孩 }一 样 长 大 。 你 很 快 就 学 会 了 低 入 高 出 ， 并 标 出 让 顾 客 满 意 价 格 的 技 巧 。 
qstr_As_a_{reg3?girl:boy}_gr|你 被 遗 弃 在 大 街 上 为 了 生 存 而 无 所 不 为 ， 却 像 其 他 {reg3?女 孩 :男 孩 }一 样 逐 渐 成 长 。 从 最 初 的 偷 盗 ， 到 仅 仅 只 是 为 了 获 得 一 块 面 包 而 为 那 些 歹 徒 工 作 。 你 每 天 都 在 这 种 残 酷 的 世 界 中 挣 扎 ， 并 总 在 执 法 者 和 病 魔 到 来 之 前 藏 好 自 己 。 
qstr_As_a_{reg3?girl:boy}_gro|在 和 其 他 {reg3?女 孩 :男 孩 }一 样 的 成 长 过 程 中 ， 你 曾 在 大 草 原 上 骑 着 自 己 的 马 匹 ， 学 习 着 从 草 原 或 沙 漠 之 中 寻 找 方 向 。 在 无 痕 的 大 地 上 虽 然 不 时 挨 饿 ， 你 还 是 成 了 一 名 熟 练 的 猎 人 和 探 险 者 ， 你 的 身 体 也 开 始 布 满 了 结 实 的 肌 肉 —— 这 ， 就 是 作 为 游 牧 之 {reg3?女 :民 }的 生 活 方 式 。 
qstr_As_a_{reg3?girl:boy}_grow|As a {reg3?girl:boy} growing out of childhood, you lived deep in the mountains, surviving away from civilization. Although often hungry, you became a skillful hunter and pathfinder in this trackless country. Your body too started to harden with muscle as you endured your rough life.{***}
qstr_{reg3?daughter:man}|{reg3?女 人 :男 人 }
qstr_Though_the_distincti|尽 管 阶 级 高 下 如 此 悬 殊 ， 你 仍 然 在 某 种 力 量 的 指 引 下 成 为 一 个 {reg3?女 人 :男 人 }， 整 个 世 界 将 因 你 而 改 变 。 作 为 一 个 上 层 贵 族 的 指 定 护 卫 ， 你 长 时 间 的 练 习 各 种 武 器 ， 学 习 如 何 出 击 和 招 架 。 被 教 导 要 对 主 人 效 忠 ， 以 及 对 那 些 将 来 可 能 成 为 你 属 下 的 人 负 责 。 在 学 习 骑 士 理 想 的 时 候 ， 从 那 些 老 兵 的 故 事 你 也 知 道 了 不 怎 么 光 彩 的 一 面 —— 残 忍 的 强 权 政 治 ， 背 叛 和 篡 夺 ， 以 及 为 了 目 的 不 择 手 段 。 
qstr_{reg3?woman:man}|{reg3?女人:男人}
qstr_Though_the_distinctio|尽 管 你 突 然 领 悟 到 阶 级 差 别 ， 你 仍 然 在 某 种 力 量 的 指 引 下 成 为 一 名 {reg3?女 人 :男 人 }， 你 身 边 的 整 个 世 界 似 乎 都 变 了 。 你 进 入 了 上 层 女 士 的 紧 密 圈 子 ， 她 们 全 是 真 正 的 淑 女 ， 妇 人 们 、 贵 族 夫 人 们 ， 以 及 一 些 未 婚 千 金 们 。 不 论 如 何 ， 你 总 是 在 女 士 们 在 大 厅 里 穿 着 为 求 显 赫 和 争 红 斗 艳 的 吸 引 男 子 眼 球 的 潮 流 妆 扮 中 嗅 到 政 治 的 味 道 。 你 很 快 学 习 到 将 这 些 情 景 和 举 动 变 为 自 己 优 势 的 方 法 。 这 将 让 令 你 重 新 认 识 自 己 ， 并 让 你 了 解 ， 假 如 你 在 这 方 面 花 些 功 夫 的 话 ， 将 会 对 世 界 产 生 巨 大 的 影 响 。 
qstr_Though_the_distinction|尽 管 你 突 然 领 悟 到 阶 级 差 别 ， 你 仍 然 在 某 种 力 量 的 指 引 下 成 为 一 名 {reg3?女 人 :男 人 }， 你 身 边 的 整 个 世 界 似 乎 都 变 了 。 仅 仅 带 着 背 上 的 乐 器 和 自 己 的 嗓 音 你 就 出 发 了 。 那 是 一 段 穷 苦 的 生 活 ， 因 为 人 们 不 赏 识 你 的 演 奏 而 在 许 许 多 多 的 夜 里 挨 饿 ， 不 过 你 设 法 靠 音 乐 维 持 生 存 。 多 年 以 后 你 在 酒 馆 里 为 醉 鬼 们 熟 练 的 演 奏 ， 甚 至 还 能 让 任 何 人 说 出 你 想 要 的 的 东 西 。 
qstr_Though_the_distinction_|你 在 某 种 力 量 的 指 引 下 成 为 一 个 {reg3?女 人 :男 人 }， 当 你 突 然 领 悟 了 荣 誉 时 ， 你 身 边 的 整 个 世 界 似 乎 都 变 了 。 作 为 一 个 大 城 市 里 的 学 生 ， 你 在 学 院 里 学 习 神 学 、 哲 学 和 医 学 ， 不 过 不 是 所 有 的 课 程 都 在 讲 堂 上 学 的 。 你 有 时 也 和 朋 友 们 在 小 巷 里 闲 逛 ， 喝 酒 ， 找 女 人 ， 打 架 。 不 管 怎 么 说 ， 你 能 观 察 到 如 何 接 上 脱 臼 的 下 巴 ， 或 者 如 何 说 服 一 个 怒 火 中 烧 的 市 民 放 下 大 棒 ， 为 他 被 砸 烂 的 店 铺 接 受 现 金 赔 偿 。 
qstr_Though_the_distinction_f|尽 管 你 突 然 领 悟 到 阶 级 差 别 ， 你 仍 然 在 某 种 力 量 的 指 引 下 成 为 一 名 {reg3?女 人 :男 人 }， 你 身 边 的 整 个 世 界 似 乎 都 变 了 。 你 走 村 串 巷 ， 沿 街 叫 卖 自 己 贩 来 的 货 物 。 那 一 段 并 不 富 裕 的 生 活 ， 让 你 逐 渐 成 长 为 讲 价 的 能 手 ， 即 使 最 吝 啬 的 老 前 辈 也 能 给 你 一 个 好 价 钱 。 你 知 道 ， 不 久 你 将 开 始 发 展 自 己 的 贸 易 帝 国 …… 
qstr_Though_the_distinction_fe|尽 管 你 突 然 领 悟 到 阶 级 差 别 ， 你 仍 然 在 某 种 力 量 的 指 引 下 成 为 一 名 {reg3?女 人 :男 人 }， 你 身 边 的 整 个 世 界 似 乎 都 变 了 。 你 从 事 铁 匠 职 业 ， 用 手 打 造 出 各 种 各 样 的 工 具 。 你 逐 渐 掌 握 了 技 巧 ， 努 力 的 工 作 也 换 来 了 金 钱 、 食 物 和 火 上 的 铁 料 。 你 以 自 己 的 工 作 为 傲 ， 并 且 不 久 就 会 获 得 工 匠 大 师 的 称 号 。 
qstr_Though_the_distinction_fel|尽 管 你 突 然 领 悟 到 阶 级 差 别 ， 你 仍 然 在 某 种 力 量 的 指 引 下 成 为 一 名 {reg3?女 人 :男 人 }， 你 身 边 的 整 个 世 界 似 乎 都 变 了 。 不 满 于 普 通 人 对 于 金 钱 的 拼 死 争 夺 ， 你 潜 入 领 主 的 森 林 ， 在 该 死 的 法 律 之 外 自 己 来 一 点 慷 慨 。 你 猎 杀 野 鹿 、 野 猪 和 野 鹅 ， 偷 偷 卖 出 这 些 美 味 的 干 肉 。 你 在 看 守 的 鼻 子 底 下 砍 树 并 劈 成 木 柴 ， 在 冬 夜 温 暖 许 多 冰 冷 的 家 庭 。 当 然 ， 只 收 一 点 点 银 子 。 
qstr_Though_the_distinction_felt|Though the distinction felt sudden to you, somewhere along the way you had become a {s13}, and the whole world seemed to change around you. Dissatisfied with common men's desperate scrabble for coin, you took to your local lord's own forests and decided to help yourself to its bounty, laws be damned. You hunted deer, boars and geese and sold the precious meat under the table. You cut down trees right under the watchmen's noses and turned them into firewood that warmed many freezing homes during winter. All for a few coins, of course.{***}
qstr_Only_you_know_exactl|只 有 你 确 切 知 道 自 己 为 何 放 弃 以 前 的 生 活 ， 来 做 一 个 冒 险 者 。 因 为 心 中 的 熊 熊 燃 烧 的 怒 火 ， 决 定 离 开 并 不 艰 难 。 你 要 复 仇 ， 你 要 审 判 ， 对 你 所 作 的 一 切 都 不 能 饶 恕 ， 所 有 的 债 只 能 用 鲜 血 来 偿 还 …… 
qstr_Only_you_know_exactly|只 有 你 确 切 知 道 自 己 为 何 放 弃 以 前 的 生 活 ， 来 做 一 个 冒 险 者 。 你 只 想 说 的 就 是 不 能 再 忍 受 下 去 ， 带 着 那 些 让 你 爱 得 如 此 甜 蜜 又 如 此 痛 苦 的 记 忆 。 也 许 新 的 生 活 会 让 你 忘 掉 ， 或 者 给 你 再 也 忍 不 住 要 说 的 那 个 名 字 带 去 荣 誉 ……
qstr_Only_you_know_exactly_|只 有 你 确 切 知 道 自 己 为 何 放 弃 以 前 的 生 活 ， 来 做 一 个 冒 险 者 。 你 不 确 定 从 何 时 起 ， 家 园 变 成 了 监 狱 ， 亲 人 也 变 得 陌 生 ， 只 有 流 浪 占 据 了 你 的 世 界 。 不 管 是 向 往 遥 远 的 乐 土 还 是 仅 仅 路 上 的 自 由 ， 你 再 不 愿 呆 在 同 样 的 地 方 ， 只 是 再 不 回 头 地 走 下 去 …… 
qstr_Only_you_know_exactly_w|只 有 你 确 切 知 道 自 己 为 何 放 弃 以 前 的 生 活 ， 来 做 一 个 冒 险 者 。 你 知 道 再 也 不 能 回 去 ， 也 没 有 地 方 可 回 。 曾 经 的 家 园 已 经 烟 消 云 散 ， 你 必 须 面 对 现 实 ， 在 大 千 世 界 上 ， 沉 浮 全 靠 自 己 一 人 …… 
qstr_Only_you_know_exactly_wh|只 有 你 确 切 知 道 自 己 为 何 放 弃 以 前 的 生 活 ， 来 做 一 个 冒 险 者 。 每 个 人 都 知 道 ， 很 明 显 你 是 单 纯 为 钱 财 而 来 。 你 想 富 有 、 强 大 、 受 人 尊 敬 、 令 人 畏 惧 、 让 人 顺 从 。 你 想 让 人 们 都 知 道 你 的 名 字 ， 并 且 无 论 何 时 听 到 它 就 发 抖 。 你 想 要 每 一 样 东 西 ， 并 且 不 会 让 任 何 人 阻 止 你 得 到 它 …… 
qstr_Back_to_the_beginnin|退 回 开 始 …… 
qstr_View_next_segment...|查 看 下 节 …… 
qstr_^No_food:___{reg7}|^ 没 有 食 物 ： -{reg7}
qstr_^Wage_debt:___{reg6}|^ 拖 欠 工 资 ： -{reg6}
qstr_On_loan|贷 款 ， 
qstr_Appoint_next_strateg|任 命 下 一 位 总 大 将  
qstr_Award_{s12}_as_fief|把 {s12}作 为 封 地 授 予 
qstr_No_one|没 有 人 
qstr_Selected_faction_is:|选 择 的 集 团 是 ： {s10}^^{s9}
qstr_You_are_currently_re|你 正 在 阅 读 {s8}。 
qstr_You_are_not_reading_|你 没 有 在 读 任 何 书 籍 。 
qstr_{s5}_and_{s6}|{s5}和 {s6}
qstr_Your_estates_are:_{s|你 的 封 地 在 ： {s8}。 ^{s9}
qstr_^Samurai_Penalty:__{|^Samurai Penalty: -{reg5} (from off-screen servants){s5}{***}
qstr_^Clan_Strategist:_+2|^Clan Strategist: +20{s5}{***}
qstr_^Clan_Leader:_+20{s5|^Clan Leader: +20{s5}{***}
qstr_^Walled_Fief:_+{reg5|^Walled Fief: +{reg5}{s5}{***}
qstr_^Walled_Fiefs:_+{reg|^Walled Fiefs: +{reg5}{s5}{***}
qstr_Current_prisoner_lim|当 前 的 囚 犯 限 制 为 {reg8}。 ^^狱 卒 ： {s6} {reg6} ^政 党 人 数 修 饰 符 ： {s7} {reg7} 
